,Price,bedrooms,bathrooms,nearestStation,location.latitude,location.longitude,latitude_deviation,longitude_deviation,tenure.tenureType,feature__1 bedroom,feature__2 bedrooms,feature__2 double bedrooms,feature__allocated parking,feature__allocated parking space,feature__balcony,feature__bathroom,feature__chain free,feature__close to local amenities,feature__communal garden,feature__communal gardens,feature__double bedroom,feature__double glazed,feature__double glazing,feature__epc rating c,feature__epc rating d,feature__excellent location,feature__excellent transport links,feature__family bathroom,feature__first floor,feature__fitted kitchen,feature__garage,feature__garden,feature__gas central heating,feature__great location,feature__ground floor,feature__kitchen,feature__leasehold,feature__long lease,feature__modern bathroom,feature__modern kitchen,feature__no chain,feature__no onward chain,feature__off street parking,feature__one bedroom,feature__one double bedroom,feature__parking,feature__private balcony,feature__private garden,feature__private rear garden,feature__reception room,feature__separate kitchen,feature__share of freehold,feature__three bedrooms,feature__three double bedrooms,feature__top floor,feature__two bathrooms,feature__two bedrooms,feature__two double bedrooms,feature__two reception rooms
61886742,325000.0,1.0,1.0,0.10787322686793495,51.573734,-0.193742,0.07401399999999825,0.089322,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62326566,480000.0,1.0,2.0,0.5289050410340009,51.509447,-0.250837,0.009726999999998043,0.14641699999999996,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
62332440,550000.0,2.0,1.0,0.3684607222179262,51.529026,-0.202977,0.029305999999998278,0.09855699999999999,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62670627,350000.0,1.0,1.0,0.10828349669583755,51.50088,0.03174,0.0011599999999987176,0.13616,LEASEHOLD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
62695155,425000.0,1.0,1.0,0.19738553429193154,51.49778,-0.01825,0.0019400000000047157,0.08617,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62789352,600000.0,3.0,1.0,0.17498877660337067,51.481877,0.020218,0.01784300000000627,0.124638,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62900790,549950.0,2.0,1.0,0.21110745425293748,51.491686,-0.136583,0.008034000000002095,0.03216300000000001,LEASEHOLD,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62968803,390000.0,2.0,1.0,0.2555085948209978,51.52284,-0.26063,0.023119999999998697,0.15620999999999996,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
63455775,475000.0,1.0,1.0,0.30968835986467763,51.495989,-0.193308,0.0037310000000019272,0.08888800000000001,SHARE_OF_FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63614463,600000.0,3.0,2.0,0.2812411232172629,51.4139,-0.0748,0.08582000000000534,0.029619999999999994,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63638082,400000.0,3.0,1.0,0.11555190277753848,51.528658,-0.024737,0.028937999999996578,0.079683,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63868737,245000.0,1.0,1.0,0.23873682394030002,51.60596,-0.076362,0.10623999999999967,0.028058,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63986778,350000.0,1.0,1.0,0.027524518821023056,51.46504,-0.01276,0.0346800000000016,0.09165999999999999,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63994251,425000.0,2.0,1.0,0.3732951403990929,51.463686,-0.023155,0.03603400000000079,0.081265,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
64055751,375000.0,1.0,1.0,0.23854637592343286,51.483154,-0.118121,0.01656600000000452,0.013701000000000005,LEASEHOLD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64276185,240000.0,1.0,1.0,0.3794460294271606,51.397232,-0.091115,0.10248800000000102,0.013304999999999997,LEASEHOLD,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64589335,325000.0,2.0,1.0,0.8096163574850214,51.48655,-0.36917,0.013170000000002346,0.26475,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65030290,360000.0,2.0,1.0,1.7795462580736012,51.53142,-0.40837,0.03169999999999362,0.30395,FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65194215,575000.0,1.0,1.0,0.2675313973965346,51.52525,-0.08063,0.025529999999996278,0.023790000000000006,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65439241,185000.0,1.0,1.0,1.0840623867844592,51.45147,-0.24435,0.04825000000000301,0.13993,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65577146,499000.0,2.0,1.0,0.24828951487150583,51.52422,-0.20292,0.02449999999999619,0.09849999999999999,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65586675,450000.0,3.0,1.0,0.23005236275926577,51.49573,-0.09541,0.003990000000001714,0.009010000000000004,LEASEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65600967,275000.0,1.0,1.0,0.1379395505668432,51.59562,-0.07232,0.09589999999999321,0.032100000000000004,SHARE_OF_FREEHOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
