Price,location.latitude,location.longitude,distance_to_any_train,bedrooms_model,bathrooms_model,analyticsProperty.imageCount,analyticsProperty.added,floorplan_count,property_age
500000.0,51.516138,-0.39285,0.9,3.0,1.0,11,20211207,8.0,37.0
500000.0,51.476843,0.040327,0.8,3.0,2.0,17,20210520,4.0,37.0
590000.0,51.481685,-0.12722,0.1,1.0,1.0,11,20220326,4.0,
275000.0,51.528479,0.037843,0.5,2.0,1.0,8,20220307,9.0,
425000.0,51.44133,-0.05782,0.2,2.0,1.0,14,20220708,4.0,
425000.0,51.57822,0.02075,0.2,2.0,1.0,15,20210526,4.0,37.0
600000.0,51.627563,-0.248264,1.0,3.0,1.0,13,20220405,4.0,37.0
485000.0,51.50511,-0.05885,0.1,2.0,1.0,18,20220523,4.0,37.0
425000.0,51.47253,-0.10113,0.4,1.0,1.0,14,20220527,8.0,37.0
455000.0,51.521468,-0.329288,0.2,2.0,1.0,7,20220609,4.0,37.0
425000.0,51.420712,-0.13462,0.2,2.0,1.0,8,20220215,4.0,37.0
450000.0,51.37978,-0.30428,0.9,2.0,1.0,10,20220405,4.0,37.0
350000.0,51.480171,-0.098729,0.6,3.0,,9,20220628,1.0,
400000.0,51.497926,-0.020584,0.2,1.0,1.0,4,20211201,4.0,12.0
505000.0,51.407646,-0.222884,0.3,1.0,1.0,6,20220516,4.0,
424999.0,51.44237,-0.39363,0.8,2.0,1.0,20,20220308,4.0,37.0
550000.0,51.525749,0.03879,0.7,4.0,1.0,17,20220221,4.0,
335000.0,51.591152,-0.037849,0.3,1.0,1.0,18,20220202,4.0,38.0
475000.0,51.521635,-0.031125,0.3,2.0,1.0,15,20220616,4.0,23.0
